student_id,class_id,term_id,subject_id,assessment_type,score
196,1,1,23,test,50.92
196,1,1,23,homework,75.32
196,1,1,23,exam,65.46
196,1,1,8,test,47.29
196,1,1,8,homework,72.89
196,1,1,8,exam,64.43
196,1,1,11,test,40.22
196,1,1,11,homework,43.0
196,1,1,11,exam,55.57
196,1,1,24,test,8.95
196,1,1,24,homework,12.89
196,1,1,24,exam,6.98
196,1,1,5,test,17.62
196,1,1,5,homework,16.64
196,1,1,5,exam,14.83
196,1,1,4,test,39.62
196,1,1,4,homework,62.54
196,1,1,4,exam,75.43
196,1,1,13,test,27.24
196,1,1,13,homework,37.68
196,1,1,13,exam,27.11
196,1,1,2,test,49.28
196,1,1,2,homework,76.5
196,1,1,2,exam,94.26
196,1,1,1,test,18.48
196,1,1,1,homework,25.51
196,1,1,1,exam,19.66
196,1,1,6,test,67.41
196,1,1,6,homework,70.99
196,1,1,6,exam,78.73
196,1,2,23,test,27.2
196,1,2,23,homework,42.52
196,1,2,23,exam,53.36
196,1,2,8,test,71.38
196,1,2,8,homework,57.32
196,1,2,8,exam,59.82
196,1,2,11,test,39.58
196,1,2,11,homework,53.06
196,1,2,11,exam,53.63
196,1,2,24,test,85.42
196,1,2,24,homework,81.19
196,1,2,24,exam,75.32
196,1,2,5,test,32.58
196,1,2,5,homework,51.55
196,1,2,5,exam,34.61
196,1,2,4,test,17.56
196,1,2,4,homework,13.52
196,1,2,4,exam,16.26
196,1,2,13,test,69.3
196,1,2,13,homework,68.66
196,1,2,13,exam,68.14
196,1,2,2,test,36.56
196,1,2,2,homework,33.51
196,1,2,2,exam,35.52
196,1,2,1,test,56.84
196,1,2,1,homework,55.25
196,1,2,1,exam,53.81
196,1,2,6,test,44.59
196,1,2,6,homework,77.95
196,1,2,6,exam,87.54
196,1,3,23,test,72.3
196,1,3,23,homework,61.34
196,1,3,23,exam,69.1
196,1,3,8,test,35.91
196,1,3,8,homework,54.46
196,1,3,8,exam,56.84
196,1,3,11,test,39.3
196,1,3,11,homework,42.67
196,1,3,11,exam,42.86
196,1,3,24,test,70.5
196,1,3,24,homework,75.9
196,1,3,24,exam,91.58
196,1,3,5,test,61.13
196,1,3,5,homework,64.18
196,1,3,5,exam,100.0
196,1,3,4,test,37.08
196,1,3,4,homework,50.74
196,1,3,4,exam,61.32
196,1,3,13,test,17.46
196,1,3,13,homework,32.22
196,1,3,13,exam,17.87
196,1,3,2,test,38.59
196,1,3,2,homework,53.79
196,1,3,2,exam,44.23
196,1,3,1,test,24.74
196,1,3,1,homework,24.53
196,1,3,1,exam,19.44
196,1,3,6,test,40.7
196,1,3,6,homework,58.71
196,1,3,6,exam,72.37
196,2,1,23,test,76.67
196,2,1,23,homework,68.97
196,2,1,23,exam,62.48
196,2,1,8,test,14.37
196,2,1,8,homework,22.7
196,2,1,8,exam,32.46
196,2,1,11,test,60.26
196,2,1,11,homework,56.89
196,2,1,11,exam,77.55
196,2,1,24,test,68.61
196,2,1,24,homework,66.13
196,2,1,24,exam,100.0
196,2,1,5,test,47.48
196,2,1,5,homework,48.08
196,2,1,5,exam,64.44
196,2,1,4,test,59.74
196,2,1,4,homework,68.22
196,2,1,4,exam,74.19
196,2,1,13,test,54.23
196,2,1,13,homework,57.36
196,2,1,13,exam,57.99
196,2,1,2,test,15.45
196,2,1,2,homework,19.52
196,2,1,2,exam,11.59
196,2,1,1,test,62.8
196,2,1,1,homework,63.09
196,2,1,1,exam,70.55
196,2,1,6,test,32.2
196,2,1,6,homework,36.58
196,2,1,6,exam,30.15
196,2,2,23,test,67.42
196,2,2,23,homework,69.16
196,2,2,23,exam,100.0
196,2,2,8,test,72.42
196,2,2,8,homework,70.57
196,2,2,8,exam,78.99
196,2,2,11,test,8.02
196,2,2,11,homework,8.16
196,2,2,11,exam,10.01
196,2,2,24,test,63.45
196,2,2,24,homework,76.48
196,2,2,24,exam,100.0
196,2,2,5,test,24.6
196,2,2,5,homework,20.55
196,2,2,5,exam,21.67
196,2,2,4,test,66.73
196,2,2,4,homework,71.56
196,2,2,4,exam,94.95
196,2,2,13,test,12.43
196,2,2,13,homework,24.68
196,2,2,13,exam,14.44
196,2,2,2,test,59.13
196,2,2,2,homework,97.96
196,2,2,2,exam,100.0
196,2,2,1,test,66.15
196,2,2,1,homework,94.93
196,2,2,1,exam,100.0
196,2,2,6,test,41.88
196,2,2,6,homework,61.85
196,2,2,6,exam,52.98
196,2,3,23,test,56.57
196,2,3,23,homework,52.26
196,2,3,23,exam,55.68
196,2,3,8,test,52.75
196,2,3,8,homework,79.83
196,2,3,8,exam,66.55
196,2,3,11,test,6.4
196,2,3,11,homework,6.81
196,2,3,11,exam,14.86
196,2,3,24,test,46.0
196,2,3,24,homework,69.92
196,2,3,24,exam,77.66
196,2,3,5,test,19.24
196,2,3,5,homework,41.24
196,2,3,5,exam,34.66
196,2,3,4,test,72.92
196,2,3,4,homework,72.26
196,2,3,4,exam,72.83
196,2,3,13,test,19.99
196,2,3,13,homework,29.9
196,2,3,13,exam,41.48
196,2,3,2,test,62.11
196,2,3,2,homework,64.1
196,2,3,2,exam,74.28
196,2,3,1,test,50.58
196,2,3,1,homework,90.58
196,2,3,1,exam,98.8
196,2,3,6,test,19.17
196,2,3,6,homework,20.13
196,2,3,6,exam,19.84
196,3,1,23,test,34.23
196,3,1,23,homework,49.89
196,3,1,23,exam,49.81
196,3,1,8,test,27.28
196,3,1,8,homework,27.96
196,3,1,8,exam,24.67
196,3,1,11,test,57.2
196,3,1,11,homework,77.35
196,3,1,11,exam,66.68
196,3,1,24,test,54.95
196,3,1,24,homework,73.59
196,3,1,24,exam,73.18
196,3,1,5,test,4.13
196,3,1,5,homework,10.57
196,3,1,5,exam,14.04
196,3,1,4,test,42.98
196,3,1,4,homework,71.39
196,3,1,4,exam,57.43
196,3,1,13,test,12.28
196,3,1,13,homework,25.46
196,3,1,13,exam,18.98
196,3,1,2,test,70.4
196,3,1,2,homework,78.02
196,3,1,2,exam,100.0
196,3,1,1,test,73.4
196,3,1,1,homework,84.21
196,3,1,1,exam,89.75
196,3,1,6,test,9.61
196,3,1,6,homework,22.34
196,3,1,6,exam,20.1
196,4,1,23,test,13.85
196,4,1,23,homework,23.25
196,4,1,23,exam,25.27
196,4,1,8,test,7.61
196,4,1,8,homework,13.76
196,4,1,8,exam,16.04
196,4,1,11,test,22.89
196,4,1,11,homework,30.01
196,4,1,11,exam,37.99
196,4,1,24,test,77.54
196,4,1,24,homework,67.9
196,4,1,24,exam,94.54
196,4,1,5,test,16.6
196,4,1,5,homework,16.29
196,4,1,5,exam,29.46
196,4,1,4,test,17.43
196,4,1,4,homework,32.58
196,4,1,4,exam,27.35
196,4,1,13,test,26.2
196,4,1,13,homework,47.8
196,4,1,13,exam,45.35
196,4,1,2,test,78.26
196,4,1,2,homework,77.0
196,4,1,2,exam,74.59
196,4,1,1,test,23.73
196,4,1,1,homework,27.31
196,4,1,1,exam,25.51
196,4,1,6,test,35.13
196,4,1,6,homework,48.8
196,4,1,6,exam,38.98
196,4,2,23,test,27.97
196,4,2,23,homework,34.02
196,4,2,23,exam,30.08
196,4,2,8,test,23.47
196,4,2,8,homework,13.85
196,4,2,8,exam,27.44
196,4,2,11,test,14.53
196,4,2,11,homework,15.69
196,4,2,11,exam,22.73
196,4,2,24,test,27.12
196,4,2,24,homework,26.94
196,4,2,24,exam,42.88
196,4,2,5,test,32.5
196,4,2,5,homework,47.34
196,4,2,5,exam,32.43
196,4,2,4,test,14.93
196,4,2,4,homework,10.62
196,4,2,4,exam,12.75
196,4,2,13,test,33.7
196,4,2,13,homework,50.17
196,4,2,13,exam,40.32
196,4,2,2,test,37.75
196,4,2,2,homework,32.43
196,4,2,2,exam,26.21
196,4,2,1,test,53.07
196,4,2,1,homework,65.78
196,4,2,1,exam,44.48
196,4,2,6,test,15.26
196,4,2,6,homework,18.09
196,4,2,6,exam,13.31
196,4,3,23,test,35.69
196,4,3,23,homework,31.58
196,4,3,23,exam,35.96
196,4,3,8,test,64.26
196,4,3,8,homework,68.27
196,4,3,8,exam,63.51
196,4,3,11,test,23.03
196,4,3,11,homework,24.18
196,4,3,11,exam,33.59
196,4,3,24,test,23.2
196,4,3,24,homework,30.54
196,4,3,24,exam,19.43
196,4,3,5,test,35.51
196,4,3,5,homework,28.61
196,4,3,5,exam,32.48
196,4,3,4,test,49.32
196,4,3,4,homework,99.46
196,4,3,4,exam,64.09
196,4,3,13,test,9.49
196,4,3,13,homework,5.51
196,4,3,13,exam,9.82
196,4,3,2,test,22.24
196,4,3,2,homework,25.08
196,4,3,2,exam,29.92
196,4,3,1,test,26.78
196,4,3,1,homework,18.55
196,4,3,1,exam,34.03
196,4,3,6,test,58.93
196,4,3,6,homework,79.42
196,4,3,6,exam,95.57
196,5,1,23,test,48.91
196,5,1,23,homework,49.63
196,5,1,23,exam,57.76
196,5,1,8,test,63.39
196,5,1,8,homework,66.01
196,5,1,8,exam,74.14
196,5,1,11,test,4.51
196,5,1,11,homework,13.3
196,5,1,11,exam,10.18
196,5,1,24,test,30.15
196,5,1,24,homework,31.02
196,5,1,24,exam,40.94
196,5,1,5,test,30.26
196,5,1,5,homework,31.79
196,5,1,5,exam,49.85
196,5,1,4,test,5.11
196,5,1,4,homework,9.83
196,5,1,4,exam,13.88
196,5,1,13,test,50.37
196,5,1,13,homework,75.48
196,5,1,13,exam,92.84
196,5,1,2,test,24.21
196,5,1,2,homework,33.35
196,5,1,2,exam,18.84
196,5,1,1,test,12.73
196,5,1,1,homework,16.93
196,5,1,1,exam,14.9
196,5,1,6,test,8.33
196,5,1,6,homework,11.97
196,5,1,6,exam,15.16
196,5,2,23,test,34.34
196,5,2,23,homework,41.97
196,5,2,23,exam,53.99
196,5,2,8,test,45.32
196,5,2,8,homework,67.33
196,5,2,8,exam,61.38
196,5,2,11,test,30.7
196,5,2,11,homework,26.21
196,5,2,11,exam,34.68
196,5,2,24,test,37.11
196,5,2,24,homework,46.2
196,5,2,24,exam,56.83
196,5,2,5,test,5.54
196,5,2,5,homework,16.05
196,5,2,5,exam,12.63
196,5,2,4,test,13.3
196,5,2,4,homework,22.45
196,5,2,4,exam,23.81
196,5,2,13,test,55.44
196,5,2,13,homework,53.55
196,5,2,13,exam,51.59
196,5,2,2,test,52.39
196,5,2,2,homework,75.43
196,5,2,2,exam,69.13
196,5,2,1,test,23.82
196,5,2,1,homework,46.83
